Invoice_IDBranch,Branch,City,Customer_type,Gender,Product_type,Unit_price,Quantity,Tax,Total,Payment
667-92-0055,A,Yangon,Member,Male,Health and beauty,99.83,6,29.949,628.929,Ewallet
565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67,4,9.534,200.214,Cash
498-41-1961,B,Mandalay,Normal,Male,Health and beauty,66.68,5,16.67,350.07,Cash
593-95-4461,C,Naypyitaw,Member,Male,Home and lifestyle,74.86,1,3.743,78.603,Cash
226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75,9,10.6875,224.4375,Cash
283-79-9594,B,Mandalay,Normal,Female,Food and beverages,48.51,7,16.9785,356.5485,Credit card
430-60-3493,A,Yangon,Member,Female,Home and lifestyle,94.88,7,33.208,697.368,Cash
139-20-0155,B,Mandalay,Member,Male,Electronic accessories,40.3,10,20.15,423.15,Credit card
558-80-4082,C,Naypyitaw,Normal,Male,Electronic accessories,27.85,7,9.7475,204.6975,Ewallet
278-97-7759,A,Yangon,Member,Female,Electronic accessories,62.48,1,3.124,65.604,Cash
316-68-6352,A,Yangon,Member,Female,Food and beverages,36.36,2,3.636,76.356,Cash
585-03-5943,B,Mandalay,Normal,Male,Health and beauty,18.11,10,9.055,190.155,Ewallet
211-05-0490,C,Naypyitaw,Member,Female,Electronic accessories,51.92,5,12.98,272.58,Cash
727-75-6477,C,Naypyitaw,Normal,Male,Electronic accessories,28.84,4,5.768,121.128,Cash
744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.514,493.794,Ewallet
307-83-9164,A,Yangon,Member,Male,Home and lifestyle,60.01,4,12.002,252.042,Cash
779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle,88.61,1,4.4305,93.0405,Cash
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.982,209.622,Credit card
573-10-3877,B,Mandalay,Member,Male,Health and beauty,39.01,1,1.9505,40.9605,Credit card
735-06-4124,C,Naypyitaw,Normal,Male,Food and beverages,48.61,1,2.4305,51.0405,Cash
439-54-7422,A,Yangon,Normal,Female,Electronic accessories,51.19,4,10.238,214.998,Credit card
396-90-2219,B,Mandalay,Normal,Female,Electronic accessories,14.96,8,5.984,125.664,Cash
411-77-0180,A,Yangon,Member,Male,Electronic accessories,72.2,7,25.27,530.67,Ewallet
286-01-5402,A,Yangon,Normal,Female,Sports and travel,40.23,7,14.0805,295.6905,Cash
803-17-8013,A,Yangon,Member,Female,Home and lifestyle,88.79,8,35.516,745.836,Cash
512-98-1403,A,Yangon,Member,Female,Electronic accessories,26.48,3,3.972,83.412,Ewallet
848-42-2560,A,Yangon,Normal,Female,Fashion accessories,81.91,2,8.191,172.011,Cash
532-59-7201,B,Mandalay,Member,Male,Sports and travel,79.93,6,23.979,503.559,Cash
181-94-6432,C,Naypyitaw,Member,Male,Fashion accessories,69.33,2,6.933,145.593,Ewallet
870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23,5,3.5575,74.7075,Credit card
423-64-4619,A,Yangon,Member,Female,Health and beauty,15.55,9,6.9975,146.9475,Cash
227-07-4446,C,Naypyitaw,Member,Female,Electronic accessories,78.13,10,39.065,820.365,Cash
174-36-3675,C,Naypyitaw,Member,Male,Food and beverages,99.37,2,9.937,208.677,Cash
428-83-5800,C,Naypyitaw,Member,Female,Food and beverages,21.08,3,3.162,66.402,Cash
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,392.6475,Cash
704-20-4138,C,Naypyitaw,Member,Female,Health and beauty,29.67,7,10.3845,218.0745,Credit card
787-15-1757,C,Naypyitaw,Member,Male,Health and beauty,44.07,4,8.814,185.094,Ewallet
649-11-3678,C,Naypyitaw,Normal,Female,Food and beverages,22.93,9,10.3185,216.6885,Cash
622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty,39.42,1,1.971,41.391,Cash
372-94-8041,A,Yangon,Normal,Male,Health and beauty,15.26,6,4.578,96.138,Ewallet
563-91-7120,A,Yangon,Normal,Female,Fashion accessories,61.77,5,15.4425,324.2925,Cash
746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52,6,6.456,135.576,Credit card
276-54-0879,B,Mandalay,Normal,Male,Sports and travel,97.74,4,19.548,410.508,Ewallet
815-11-1168,A,Yangon,Member,Male,Food and beverages,99.78,5,24.945,523.845,Cash
719-76-3868,C,Naypyitaw,Member,Male,Food and beverages,94.26,4,18.852,395.892,Cash
730-61-8757,B,Mandalay,Member,Male,Health and beauty,51.13,4,10.226,214.746,Credit card
340-66-0321,A,Yangon,Member,Male,Electronic accessories,36.36,4,7.272,152.712,Cash
868-81-1752,B,Mandalay,Normal,Male,Home and lifestyle,22.02,9,9.909,208.089,Cash
634-97-8956,A,Yangon,Normal,Male,Food and beverages,32.9,3,4.935,103.635,Credit card
566-71-1091,A,Yangon,Normal,Male,Fashion accessories,77.02,5,19.255,404.355,Cash
442-48-3607,A,Yangon,Member,Male,Food and beverages,23.48,2,2.348,49.308,Credit card
835-16-0096,C,Naypyitaw,Member,Male,Sports and travel,14.7,5,3.675,77.175,Ewallet
527-09-6272,A,Yangon,Member,Female,Electronic accessories,28.45,5,7.1125,149.3625,Credit card
898-04-2717,A,Yangon,Normal,Male,Fashion accessories,76.4,9,34.38,721.98,Ewallet
692-27-8933,B,Mandalay,Normal,Female,Sports and travel,57.95,6,17.385,365.085,Cash
633-09-3463,C,Naypyitaw,Normal,Female,Electronic accessories,47.65,3,7.1475,150.0975,Credit card
374-17-3652,B,Mandalay,Member,Female,Food and beverages,42.82,9,19.269,404.649,Credit card
378-07-7001,B,Mandalay,Member,Male,Electronic accessories,48.09,3,7.2135,151.4835,Credit card
433-75-6987,B,Mandalay,Member,Female,Health and beauty,55.97,7,19.5895,411.3795,Ewallet
873-95-4984,B,Mandalay,Member,Female,Health and beauty,76.9,7,26.915,565.215,Cash
416-13-5917,C,Naypyitaw,Normal,Female,Food and beverages,97.03,5,24.2575,509.4075,Ewallet
150-89-8043,A,Yangon,Normal,Male,Sports and travel,44.65,3,6.6975,140.6475,Cash
135-84-8019,A,Yangon,Normal,Female,Fashion accessories,77.93,9,35.0685,736.4385,Ewallet
441-94-7118,A,Yangon,Member,Male,Electronic accessories,71.95,1,3.5975,75.5475,Cash
725-96-3778,C,Naypyitaw,Member,Female,Home and lifestyle,89.25,8,35.7,749.7,Cash
531-80-1784,A,Yangon,Normal,Male,Electronic accessories,26.02,7,9.107,191.247,Cash
400-45-1220,B,Mandalay,Normal,Female,Health and beauty,13.5,10,6.75,141.75,Credit card
860-79-0874,C,Naypyitaw,Member,Female,Fashion accessories,99.3,10,49.65,1042.65,Credit card
834-61-8124,A,Yangon,Normal,Male,Electronic accessories,51.69,7,18.0915,379.9215,Cash
115-99-4379,B,Mandalay,Member,Female,Fashion accessories,54.73,7,19.1555,402.2655,Credit card
565-67-6697,B,Mandalay,Member,Male,Home and lifestyle,27,9,12.15,255.15,Cash
320-49-6392,C,Naypyitaw,Normal,Female,Electronic accessories,30.24,1,1.512,31.752,Cash
889-04-9723,B,Mandalay,Member,Female,Food and beverages,89.14,4,17.828,374.388,Credit card
632-90-0281,C,Naypyitaw,Normal,Female,Fashion accessories,37.55,10,18.775,394.275,Credit card
554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,Cash
453-63-6187,B,Mandalay,Normal,Male,Electronic accessories,27.5,3,4.125,86.625,Ewallet
578-80-7669,B,Mandalay,Normal,Male,Sports and travel,74.97,1,3.7485,78.7185,Cash
612-36-5536,A,Yangon,Member,Male,Food and beverages,80.96,8,32.384,680.064,Credit card
605-72-4132,C,Naypyitaw,Normal,Female,Food and beverages,94.47,8,37.788,793.548,Cash
471-41-2823,C,Naypyitaw,Normal,Male,Food and beverages,99.79,2,9.979,209.559,Ewallet
462-67-9126,A,Yangon,Normal,Male,Home and lifestyle,73.22,6,21.966,461.286,Cash
272-27-9238,C,Naypyitaw,Normal,Female,Food and beverages,41.24,4,8.248,173.208,Cash
834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,81.68,4,16.336,343.056,Cash
122-61-9553,C,Naypyitaw,Normal,Female,Electronic accessories,51.32,9,23.094,484.974,Cash
468-88-0009,A,Yangon,Member,Male,Home and lifestyle,65.94,4,13.188,276.948,Cash
613-59-9758,C,Naypyitaw,Normal,Female,Sports and travel,14.36,10,7.18,150.78,Cash
254-31-0042,A,Yangon,Member,Male,Electronic accessories,21.5,9,9.675,203.175,Credit card
201-86-2184,B,Mandalay,Member,Female,Electronic accessories,26.26,7,9.191,193.011,Cash
261-12-8671,B,Mandalay,Normal,Female,Fashion accessories,60.96,2,6.096,128.016,Credit card
730-70-9830,C,Naypyitaw,Normal,Female,Home and lifestyle,70.11,6,21.033,441.693,Ewallet
382-25-8917,C,Naypyitaw,Normal,Male,Fashion accessories,42.08,6,12.624,265.104,Cash
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.7725,352.2225,Credit card
667-23-5919,A,Yangon,Member,Female,Fashion accessories,96.7,5,24.175,507.675,Ewallet
843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,35.38,9,15.921,334.341,Credit card
743-88-1662,C,Naypyitaw,Normal,Male,Sports and travel,95.49,7,33.4215,701.8515,Ewallet
595-86-2894,C,Naypyitaw,Member,Male,Fashion accessories,96.98,4,19.396,407.316,Ewallet
182-69-8360,B,Mandalay,Normal,Female,Electronic accessories,23.65,4,4.73,99.33,Credit card
289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33,4,16.466,345.786,Credit card
462-78-5240,C,Naypyitaw,Normal,Female,Electronic accessories,26.61,2,2.661,55.881,Cash
868-52-7573,B,Mandalay,Normal,Female,Food and beverages,99.69,5,24.9225,523.3725,Cash
153-58-4872,C,Naypyitaw,Member,Female,Food and beverages,74.89,4,14.978,314.538,Ewallet
662-72-2873,A,Yangon,Normal,Female,Food and beverages,40.94,5,10.235,214.935,Ewallet
525-88-7307,B,Mandalay,Member,Male,Sports and travel,75.82,1,3.791,79.611,Cash
689-16-9784,C,Naypyitaw,Normal,Male,Food and beverages,46.77,6,14.031,294.651,Cash
725-56-0833,A,Yangon,Normal,Female,Health and beauty,32.32,10,16.16,339.36,Credit card
394-41-0748,C,Naypyitaw,Member,Female,Fashion accessories,54.07,9,24.3315,510.9615,Ewallet
596-42-3999,B,Mandalay,Normal,Male,Food and beverages,18.22,7,6.377,133.917,Credit card
541-89-9860,C,Naypyitaw,Member,Female,Fashion accessories,80.48,3,12.072,253.512,Cash
173-82-9529,B,Mandalay,Normal,Female,Fashion accessories,37.95,10,18.975,398.475,Cash
563-36-9814,A,Yangon,Member,Male,Electronic accessories,76.82,1,3.841,80.661,Ewallet
308-47-4913,A,Yangon,Member,Female,Sports and travel,52.26,10,26.13,548.73,Credit card
885-17-6250,A,Yangon,Normal,Female,Health and beauty,79.74,1,3.987,83.727,Ewallet
726-27-2396,A,Yangon,Normal,Female,Health and beauty,77.5,5,19.375,406.875,Ewallet
316-01-3952,A,Yangon,Normal,Female,Food and beverages,54.27,5,13.5675,284.9175,Ewallet
760-54-1821,B,Mandalay,Normal,Male,Home and lifestyle,13.59,9,6.1155,128.4255,Cash
793-10-3222,B,Mandalay,Member,Female,Health and beauty,41.06,6,12.318,258.678,Credit card
346-12-3257,B,Mandalay,Member,Male,Electronic accessories,19.24,9,8.658,181.818,Cash
110-05-6330,C,Naypyitaw,Normal,Female,Food and beverages,39.43,6,11.829,248.409,Credit card
651-61-0874,C,Naypyitaw,Normal,Male,Home and lifestyle,46.22,4,9.244,194.124,Credit card
236-86-3015,C,Naypyitaw,Member,Male,Home and lifestyle,13.98,1,0.699,14.679,Ewallet
831-64-0259,B,Mandalay,Normal,Female,Fashion accessories,39.75,5,9.9375,208.6875,Ewallet
587-03-7455,C,Naypyitaw,Member,Female,Fashion accessories,97.79,7,34.2265,718.7565,Ewallet
882-40-4577,A,Yangon,Member,Male,Sports and travel,67.26,4,13.452,282.492,Credit card
732-67-5346,A,Yangon,Normal,Male,Food and beverages,13.79,5,3.4475,72.3975,Credit card
725-32-9708,B,Mandalay,Member,Female,Fashion accessories,68.71,4,13.742,288.582,Cash
256-08-8343,A,Yangon,Normal,Female,Home and lifestyle,56.53,4,11.306,237.426,Ewallet
372-26-1506,C,Naypyitaw,Normal,Female,Fashion accessories,23.82,5,5.955,125.055,Ewallet
244-08-0162,B,Mandalay,Normal,Female,Health and beauty,34.21,10,17.105,359.205,Cash
569-71-4390,B,Mandalay,Normal,Male,Sports and travel,21.87,2,2.187,45.927,Ewallet
132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97,5,5.2425,110.0925,Cash
696-90-2548,A,Yangon,Normal,Male,Sports and travel,25.84,3,3.876,81.396,Ewallet
472-15-9636,A,Yangon,Normal,Male,Home and lifestyle,50.93,8,20.372,427.812,Ewallet
268-03-6164,B,Mandalay,Normal,Male,Health and beauty,96.11,1,4.8055,100.9155,Ewallet
750-57-9686,C,Naypyitaw,Normal,Female,Home and lifestyle,45.38,4,9.076,190.596,Credit card
186-09-3669,C,Naypyitaw,Member,Female,Health and beauty,81.51,1,4.0755,85.5855,Ewallet
848-07-1692,B,Mandalay,Normal,Female,Health and beauty,57.22,2,5.722,120.162,Ewallet
745-71-3520,A,Yangon,Member,Female,Electronic accessories,25.22,7,8.827,185.367,Cash
266-76-6436,C,Naypyitaw,Member,Female,Food and beverages,38.6,3,5.79,121.59,Ewallet
740-22-2500,C,Naypyitaw,Normal,Female,Electronic accessories,84.05,3,12.6075,264.7575,Cash
271-88-8734,C,Naypyitaw,Member,Female,Fashion accessories,97.21,10,48.605,1020.705,Credit card
301-81-8610,B,Mandalay,Member,Male,Fashion accessories,25.42,8,10.168,213.528,Credit card
489-64-4354,C,Naypyitaw,Normal,Male,Fashion accessories,16.28,1,0.814,17.094,Cash
198-84-7132,B,Mandalay,Member,Male,Fashion accessories,40.61,9,18.2745,383.7645,Cash
269-10-8440,A,Yangon,Member,Male,Health and beauty,53.17,7,18.6095,390.7995,Cash
650-98-6268,B,Mandalay,Member,Female,Food and beverages,20.87,3,3.1305,65.7405,Credit card
741-73-3559,B,Mandalay,Normal,Male,Sports and travel,67.27,5,16.8175,353.1675,Cash
325-77-6186,A,Yangon,Member,Female,Home and lifestyle,90.65,10,45.325,951.825,Ewallet
286-75-7818,B,Mandalay,Normal,Male,Fashion accessories,69.08,2,6.908,145.068,Credit card
574-57-9721,C,Naypyitaw,Normal,Male,Food and beverages,43.27,2,4.327,90.867,Ewallet
459-50-7686,A,Yangon,Normal,Female,Electronic accessories,23.46,6,7.038,147.798,Ewallet
616-87-0016,B,Mandalay,Normal,Male,Fashion accessories,95.54,7,33.439,702.219,Credit card
837-55-7229,B,Mandalay,Normal,Female,Fashion accessories,47.44,1,2.372,49.812,Credit card
751-69-0068,C,Naypyitaw,Normal,Male,Sports and travel,99.24,9,44.658,937.818,Ewallet
257-73-1380,C,Naypyitaw,Member,Male,Sports and travel,82.93,4,16.586,348.306,Ewallet
345-08-4992,A,Yangon,Normal,Male,Home and lifestyle,33.99,6,10.197,214.137,Credit card
549-96-4200,C,Naypyitaw,Member,Male,Food and beverages,17.04,4,3.408,71.568,Ewallet
810-60-6344,C,Naypyitaw,Normal,Female,Electronic accessories,40.86,8,16.344,343.224,Credit card
450-28-2866,C,Naypyitaw,Member,Male,Food and beverages,17.44,5,4.36,91.56,Cash
394-30-3170,B,Mandalay,Member,Female,Sports and travel,88.43,8,35.372,742.812,Credit card
138-17-5109,A,Yangon,Member,Female,Home and lifestyle,89.21,9,40.1445,843.0345,Credit card
192-98-7397,C,Naypyitaw,Normal,Male,Fashion accessories,12.78,1,0.639,13.419,Ewallet
301-11-9629,A,Yangon,Normal,Female,Sports and travel,19.1,7,6.685,140.385,Cash
390-80-5128,B,Mandalay,Member,Female,Health and beauty,19.15,1,0.9575,20.1075,Credit card
235-46-8343,C,Naypyitaw,Member,Male,Food and beverages,27.66,10,13.83,290.43,Credit card
453-12-7053,C,Naypyitaw,Normal,Male,Fashion accessories,45.74,3,6.861,144.081,Credit card
296-11-7041,B,Mandalay,Member,Female,Health and beauty,27.07,1,1.3535,28.4235,Credit card
449-27-2918,B,Mandalay,Member,Female,Sports and travel,39.12,1,1.956,41.076,Credit card
891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.413,470.673,Cash
744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,22.01,6,6.603,138.663,Cash
727-17-0390,A,Yangon,Normal,Female,Food and beverages,63.61,5,15.9025,333.9525,Ewallet
568-88-3448,A,Yangon,Normal,Male,Health and beauty,25,1,1.25,26.25,Ewallet
187-83-5490,A,Yangon,Member,Male,Electronic accessories,20.77,4,4.154,87.234,Cash
767-54-1907,B,Mandalay,Member,Female,Fashion accessories,29.56,5,7.39,155.19,Cash
710-46-4433,B,Mandalay,Member,Female,Food and beverages,77.4,9,34.83,731.43,Credit card
533-33-5337,B,Mandalay,Normal,Male,Electronic accessories,79.39,10,39.695,833.595,Cash
325-90-8763,C,Naypyitaw,Member,Female,Electronic accessories,46.57,10,23.285,488.985,Cash
729-46-7422,C,Naypyitaw,Normal,Male,Food and beverages,35.89,1,1.7945,37.6845,Credit card
639-76-1242,C,Naypyitaw,Normal,Male,Food and beverages,40.52,5,10.13,212.73,Cash
234-03-4040,B,Mandalay,Member,Female,Food and beverages,73.05,10,36.525,767.025,Credit card
326-71-2155,C,Naypyitaw,Normal,Female,Sports and travel,73.95,4,14.79,310.59,Cash
320-32-8842,C,Naypyitaw,Member,Female,Food and beverages,22.62,1,1.131,23.751,Cash
470-32-9057,A,Yangon,Member,Male,Food and beverages,51.34,5,12.835,269.535,Credit card
878-30-2331,C,Naypyitaw,Member,Female,Sports and travel,54.55,10,27.275,572.775,Credit card
440-59-5691,C,Naypyitaw,Member,Female,Health and beauty,37.15,7,13.0025,273.0525,Credit card
554-53-3790,B,Mandalay,Normal,Male,Sports and travel,37.02,6,11.106,233.226,Cash
746-19-0921,C,Naypyitaw,Normal,Male,Food and beverages,21.58,1,1.079,22.659,Ewallet
233-34-0817,C,Naypyitaw,Member,Female,Electronic accessories,98.84,1,4.942,103.782,Cash
767-05-1286,C,Naypyitaw,Member,Female,Home and lifestyle,83.77,6,25.131,527.751,Ewallet
340-21-9136,A,Yangon,Member,Female,Sports and travel,40.05,4,8.01,168.21,Cash
405-31-3305,A,Yangon,Member,Male,Fashion accessories,43.13,10,21.565,452.865,Credit card
731-59-7531,B,Mandalay,Member,Male,Health and beauty,72.57,8,29.028,609.588,Cash
676-39-6028,A,Yangon,Member,Female,Electronic accessories,64.44,5,16.11,338.31,Cash
502-05-1910,A,Yangon,Normal,Male,Health and beauty,65.18,3,9.777,205.317,Credit card
485-30-8700,A,Yangon,Normal,Female,Sports and travel,33.26,5,8.315,174.615,Credit card
598-47-9715,C,Naypyitaw,Normal,Male,Electronic accessories,84.07,4,16.814,353.094,Ewallet
701-69-8742,B,Mandalay,Normal,Male,Sports and travel,34.37,10,17.185,360.885,Ewallet
575-67-1508,A,Yangon,Normal,Male,Electronic accessories,38.6,1,1.93,40.53,Ewallet
541-08-3113,C,Naypyitaw,Normal,Male,Food and beverages,65.97,8,26.388,554.148,Cash
246-11-3901,C,Naypyitaw,Normal,Female,Electronic accessories,32.8,10,16.4,344.4,Cash
674-15-9296,A,Yangon,Normal,Male,Sports and travel,37.14,5,9.285,194.985,Ewallet
305-18-3552,B,Mandalay,Member,Male,Home and lifestyle,60.38,10,30.19,633.99,Cash
493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,36.98,10,18.49,388.29,Credit card
438-01-4015,B,Mandalay,Member,Female,Sports and travel,49.49,4,9.898,207.858,Ewallet
709-58-4068,B,Mandalay,Normal,Female,Fashion accessories,41.09,10,20.545,431.445,Cash
795-49-7276,A,Yangon,Normal,Male,Fashion accessories,37.15,4,7.43,156.03,Ewallet
556-72-8512,C,Naypyitaw,Normal,Male,Home and lifestyle,22.96,1,1.148,24.108,Cash
627-95-3243,B,Mandalay,Member,Female,Home and lifestyle,77.68,9,34.956,734.076,Ewallet
686-41-0932,B,Mandalay,Normal,Female,Fashion accessories,34.7,2,3.47,72.87,Ewallet
510-09-5628,A,Yangon,Member,Female,Fashion accessories,19.66,10,9.83,206.43,Credit card
608-04-3797,B,Mandalay,Member,Female,Health and beauty,25.32,8,10.128,212.688,Ewallet
148-82-2527,C,Naypyitaw,Member,Female,Home and lifestyle,12.12,10,6.06,127.26,Credit card
437-53-3084,B,Mandalay,Normal,Male,Fashion accessories,99.89,2,9.989,209.769,Ewallet
632-32-4574,B,Mandalay,Normal,Male,Sports and travel,75.92,8,30.368,637.728,Cash
556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6.322,132.762,Cash
862-59-8517,C,Naypyitaw,Normal,Female,Food and beverages,90.24,6,27.072,568.512,Cash
401-18-8016,B,Mandalay,Member,Female,Sports and travel,98.13,1,4.9065,103.0365,Cash
420-18-8989,A,Yangon,Member,Female,Sports and travel,51.52,8,20.608,432.768,Cash
277-63-2961,B,Mandalay,Member,Male,Sports and travel,73.97,1,3.6985,77.6685,Credit card
573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,31.9,1,1.595,33.495,Ewallet
620-02-2046,C,Naypyitaw,Normal,Male,Home and lifestyle,69.4,2,6.94,145.74,Ewallet
282-35-2475,B,Mandalay,Normal,Female,Sports and travel,93.31,2,9.331,195.951,Cash
511-54-3087,B,Mandalay,Normal,Male,Sports and travel,88.45,1,4.4225,92.8725,Credit card
726-29-6793,A,Yangon,Member,Male,Electronic accessories,24.18,8,9.672,203.112,Ewallet
387-49-4215,B,Mandalay,Member,Female,Sports and travel,48.5,3,7.275,152.775,Cash
862-17-9201,B,Mandalay,Normal,Female,Food and beverages,84.05,6,25.215,529.515,Credit card
291-21-5991,B,Mandalay,Member,Male,Health and beauty,61.29,5,15.3225,321.7725,Cash
602-80-9671,C,Naypyitaw,Member,Female,Home and lifestyle,15.95,6,4.785,100.485,Credit card
347-72-6115,B,Mandalay,Member,Female,Sports and travel,90.74,7,31.759,666.939,Credit card
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.7275,225.2775,Ewallet
595-27-4851,A,Yangon,Normal,Female,Fashion accessories,54.28,7,18.998,398.958,Ewallet
189-52-0236,A,Yangon,Normal,Male,Electronic accessories,99.55,7,34.8425,731.6925,Cash
503-07-0930,C,Naypyitaw,Member,Male,Sports and travel,58.39,7,20.4365,429.1665,Credit card
413-20-6708,C,Naypyitaw,Member,Female,Fashion accessories,51.47,1,2.5735,54.0435,Ewallet
425-85-2085,B,Mandalay,Member,Male,Health and beauty,54.86,5,13.715,288.015,Ewallet
521-18-7827,C,Naypyitaw,Member,Male,Home and lifestyle,39.39,5,9.8475,206.7975,Credit card
220-28-1851,A,Yangon,Normal,Male,Home and lifestyle,34.73,2,3.473,72.933,Ewallet
600-38-9738,C,Naypyitaw,Member,Male,Sports and travel,71.92,5,17.98,377.58,Credit card
734-91-1155,B,Mandalay,Normal,Female,Electronic accessories,45.71,3,6.8565,143.9865,Credit card
451-28-5717,C,Naypyitaw,Member,Female,Home and lifestyle,83.17,6,24.951,523.971,Cash
609-81-8548,A,Yangon,Member,Female,Home and lifestyle,37.44,6,11.232,235.872,Credit card
133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.287,132.027,Cash
534-01-4457,A,Yangon,Normal,Male,Food and beverages,81.71,6,24.513,514.773,Credit card
719-89-8991,A,Yangon,Member,Female,Sports and travel,91.41,5,22.8525,479.9025,Ewallet
286-62-6248,B,Mandalay,Normal,Male,Fashion accessories,39.21,4,7.842,164.682,Credit card
339-38-9982,B,Mandalay,Member,Male,Fashion accessories,59.86,2,5.986,125.706,Ewallet
827-44-5872,B,Mandalay,Member,Female,Food and beverages,54.36,10,27.18,570.78,Credit card
827-77-7633,A,Yangon,Normal,Male,Sports and travel,98.09,9,44.1405,926.9505,Cash
287-83-1405,A,Yangon,Normal,Male,Health and beauty,25.43,6,7.629,160.209,Ewallet
435-13-4908,A,Yangon,Member,Male,Fashion accessories,86.68,8,34.672,728.112,Credit card
857-67-9057,B,Mandalay,Normal,Male,Electronic accessories,22.95,10,11.475,240.975,Ewallet
236-27-1144,C,Naypyitaw,Normal,Female,Food and beverages,16.31,9,7.3395,154.1295,Ewallet
892-05-6689,A,Yangon,Normal,Female,Home and lifestyle,28.32,5,7.08,148.68,Ewallet
583-41-4548,C,Naypyitaw,Normal,Male,Home and lifestyle,16.67,7,5.8345,122.5245,Ewallet
339-12-4827,B,Mandalay,Member,Female,Fashion accessories,73.96,1,3.698,77.658,Credit card
643-38-7867,A,Yangon,Normal,Male,Home and lifestyle,97.94,1,4.897,102.837,Ewallet
308-81-0538,A,Yangon,Normal,Female,Fashion accessories,73.05,4,14.61,306.81,Credit card
358-88-9262,C,Naypyitaw,Member,Female,Food and beverages,87.48,6,26.244,551.124,Ewallet
460-35-4390,A,Yangon,Normal,Male,Home and lifestyle,30.68,3,4.602,96.642,Ewallet
343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,75.88,1,3.794,79.674,Credit card
173-50-1108,B,Mandalay,Member,Female,Sports and travel,20.18,4,4.036,84.756,Credit card
243-47-2663,C,Naypyitaw,Member,Male,Electronic accessories,18.77,6,5.631,118.251,Credit card
841-18-8232,B,Mandalay,Normal,Female,Food and beverages,71.2,1,3.56,74.76,Credit card
701-23-5550,B,Mandalay,Member,Male,Home and lifestyle,38.81,4,7.762,163.002,Ewallet
647-50-1224,A,Yangon,Normal,Female,Fashion accessories,29.42,10,14.71,308.91,Ewallet
541-48-8554,A,Yangon,Normal,Male,Sports and travel,60.95,9,27.4275,575.9775,Credit card
539-21-7227,B,Mandalay,Normal,Female,Sports and travel,51.54,5,12.885,270.585,Cash
213-32-1216,A,Yangon,Normal,Female,Electronic accessories,66.06,6,19.818,416.178,Cash
747-58-7183,B,Mandalay,Normal,Male,Fashion accessories,57.27,3,8.5905,180.4005,Ewallet
582-52-8065,B,Mandalay,Normal,Female,Fashion accessories,54.31,9,24.4395,513.2295,Cash
210-57-1719,B,Mandalay,Normal,Female,Health and beauty,58.24,9,26.208,550.368,Cash
399-69-4630,C,Naypyitaw,Normal,Male,Electronic accessories,22.21,6,6.663,139.923,Credit card
134-75-2619,A,Yangon,Member,Male,Electronic accessories,19.32,7,6.762,142.002,Cash
356-44-8813,B,Mandalay,Normal,Male,Home and lifestyle,37.48,3,5.622,118.062,Credit card
198-66-9832,B,Mandalay,Member,Female,Fashion accessories,72.04,2,7.204,151.284,Cash
283-26-5248,C,Naypyitaw,Member,Female,Food and beverages,98.52,10,49.26,1034.46,Ewallet
712-39-0363,A,Yangon,Member,Male,Food and beverages,41.66,6,12.498,262.458,Ewallet
218-59-9410,A,Yangon,Member,Female,Home and lifestyle,72.42,3,10.863,228.123,Ewallet
174-75-0888,B,Mandalay,Normal,Male,Electronic accessories,21.58,9,9.711,203.931,Cash
866-99-7614,C,Naypyitaw,Normal,Male,Food and beverages,89.2,10,44.6,936.6,Credit card
134-54-4720,B,Mandalay,Normal,Female,Electronic accessories,42.42,8,16.968,356.328,Ewallet
760-90-2357,A,Yangon,Member,Male,Electronic accessories,74.51,6,22.353,469.413,Ewallet
514-37-2845,B,Mandalay,Normal,Male,Fashion accessories,99.25,2,9.925,208.425,Cash
698-98-5964,A,Yangon,Normal,Female,Food and beverages,81.21,10,40.605,852.705,Credit card
718-57-9773,C,Naypyitaw,Normal,Female,Sports and travel,49.33,10,24.665,517.965,Credit card
651-88-7328,A,Yangon,Normal,Female,Fashion accessories,65.74,9,29.583,621.243,Cash
